Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Locking,Deadlock errors,Concurrent transactions locking resources in different orders,Add explicit lock ordering in application,Use lower isolation levels where appropriate,Implement retry logic + optimize transaction scope + lock timeout,SELECT * FROM pg_locks WHERE NOT granted,Monitor for lock waits and blocking queries,https://www.postgresql.org/docs/current/explicit-locking.html
Locking,Lock wait timeouts,Long-running transactions holding locks,Identify and terminate blocking queries,Reduce transaction scope and duration,Implement connection pooling + query optimization + lock monitoring,SELECT blocked.pid blocked_by.query FROM pg_stat_activity blocked JOIN pg_locks ON blocked.pid = relation,Verify lock wait times decrease,https://www.postgresql.org/docs/current/monitoring-locks.html
Statistics,Query planner choosing poor plan,Outdated table statistics,Run ANALYZE on affected tables,Schedule regular ANALYZE or enable autovacuum,Implement automated statistics maintenance + custom statistics targets,ANALYZE table_name; EXPLAIN query,Check row estimates match actual in query plan,https://www.postgresql.org/docs/current/planner-stats.html
Statistics,Wrong cardinality estimates,Default statistics target too low,Increase default_statistics_target,Set per-column statistics targets with ALTER TABLE,Implement histogram analysis + correlation statistics + expression statistics,ALTER TABLE table_name ALTER COLUMN column_name SET STATISTICS 1000,Compare estimated vs actual rows in EXPLAIN ANALYZE,https://www.postgresql.org/docs/current/sql-altertable.html
Extension,pg_stat_statements not tracking queries,Extension not installed or configured,CREATE EXTENSION pg_stat_statements,Add pg_stat_statements to shared_preload_libraries,Configure statement tracking parameters + restart required,SELECT * FROM pg_stat_statements LIMIT 1,Verify queries appear in pg_stat_statements view,https://www.postgresql.org/docs/current/pgstatstatements.html
Extension,PostGIS queries are slow,Missing spatial indexes,CREATE INDEX USING GIST on geometry columns,Analyze spatial query patterns and create appropriate indexes,Implement spatial partitioning + optimize SRID + use spatial operators,EXPLAIN SELECT * FROM table WHERE ST_Intersects(geom ?),Verify GiST index usage in spatial queries,https://postgis.net/docs/using_postgis_dbmanagement.html
Backup,pg_dump taking too long,Large database with single-threaded dump,Use parallel dump with -j option,Exclude unnecessary data with --exclude-table-data,Implement incremental backup strategy + pg_basebackup for large datasets,pg_dump --verbose -j 4 -Fd -f backup_dir dbname,Monitor dump progress and completion time,https://www.postgresql.org/docs/current/app-pgdump.html
Backup,Point-in-time recovery failing,WAL files missing or corrupted,Check WAL archive completeness,Verify archive_command and restore_command settings,Implement WAL-E or pgBackRest + continuous WAL archiving + recovery testing,SELECT * FROM pg_stat_archiver,Verify archived WAL files and recovery timeline,https://www.postgresql.org/docs/current/continuous-archiving.html
Configuration,Checkpoint warnings in log,Checkpoints happening too frequently,Increase max_wal_size,Tune checkpoint_completion_target to 0.9,Optimize checkpoint timing + WAL settings + background writer,SELECT * FROM pg_stat_checkpointer,Monitor checkpoint timing and write rate,https://www.postgresql.org/docs/current/wal-configuration.html
Configuration,Out of memory errors,work_mem or maintenance_work_mem too small,Increase work_mem for sessions,Tune memory parameters based on workload,Implement memory monitoring + dynamic work_mem + connection pooling,SELECT * FROM pg_stat_activity WHERE state = 'active',Monitor memory usage and query completion,https://www.postgresql.org/docs/current/runtime-config-resource.html
Security,Authentication failures,pg_hba.conf misconfiguration,Check connection method and address matching,Verify user exists and has proper roles,Implement proper authentication method + SSL/TLS + connection logging,SELECT * FROM pg_stat_activity WHERE state = 'active',Verify successful connections in pg_log,https://www.postgresql.org/docs/current/auth-pg-hba-conf.html
Security,SSL connection errors,Certificate or SSL configuration issues,Check SSL certificate validity,Configure proper SSL mode and certificates,Implement full SSL/TLS setup + certificate management + connection encryption,SELECT * FROM pg_stat_ssl,Verify SSL connections are established,https://www.postgresql.org/docs/current/ssl-tcp.html
Monitoring,Missing performance metrics,Statistics collection disabled,Enable track_activities and track_counts,Install and configure pg_stat_statements,Implement comprehensive monitoring with pg_stat_monitor + custom metrics collection,SHOW track_activities; SHOW track_counts,Verify statistics views are populated,https://www.postgresql.org/docs/current/runtime-config-statistics.html
Monitoring,High WAL generation,Excessive write activity,Identify write-heavy queries,Optimize bulk operations and batch updates,Implement WAL compression + optimize checkpoint settings + monitor WAL usage,SELECT * FROM pg_stat_wal,Monitor WAL generation rate and size,https://www.postgresql.org/docs/current/monitoring-stats.html
