Category,Symptom/Error,Root Cause,Fix 1,Fix 2,Fix 3,Diagnostic Command,Validation Step,Official Link
Authentication,"Permission denied (publickey)",SSH key issues,Verify SSH key exists,Add SSH key to ssh-agent,Comprehensive SSH key management,ssh -T git@github.com,Test SSH connection works,https://docs.github.com/authentication
Large Files,"warning: Large files detected",Binary files in repository,Move files to .gitignore,Implement Git LFS for large files,Complete large file strategy with LFS,git lfs ls-files,Verify LFS tracking is working,https://git-lfs.github.io/
Large Files,"batch request: Access denied",LFS permissions issue,Check LFS credentials,Configure LFS authentication,Implement LFS with proper access control,git lfs env,Verify LFS configuration is correct,https://github.com/git-lfs/git-lfs/wiki/Tutorial
Performance,"git operations are slow",Large repository size,Use shallow clone --depth=1,Configure Git settings for performance,Repository splitting and optimization strategy,git count-objects -vH,Monitor repository size metrics,https://git-scm.com/docs/git-config
Performance,"out of memory during git gc",Repository too large for memory,Increase system memory,Use git gc --aggressive with limits,Implement automated repository maintenance,git gc --dry-run,Verify garbage collection completed,https://git-scm.com/docs/git-gc
Hooks,"hook declined",Pre-commit validation failed,Check hook output for errors,Fix code issues causing hook failure,Implement comprehensive validation pipeline,cat .git/hooks/pre-commit,Test hook runs successfully,https://git-scm.com/book/en/v2/Customizing-Git-Git-Hooks
Hooks,"permission denied: .git/hooks/<hook>",Hook file not executable,chmod +x .git/hooks/<hook>,Verify hook file is properly configured,Automated hook management across team,ls -la .git/hooks/,Check hook has execute permissions,https://git-scm.com/book/en/v2/Customizing-Git-Git-Hooks
Security,"WARNING: Permanently added to known_hosts",SSH host verification,Accept host key manually,Verify host key fingerprint,Implement proper SSH security practices,ssh-keyscan <host>,Confirm secure connection established,https://docs.github.com/authentication/connecting-to-github-with-ssh
Security,"detected secrets in commit",Sensitive data committed,git filter-branch to remove secrets,Use BFG Repo-Cleaner for cleanup,Implement automated secret scanning,git log --oneline --grep=<pattern>,Verify secrets are removed from history,https://docs.github.com/code-security
Submodules,"fatal: No url found for submodule",Missing submodule configuration,git submodule init,git submodule update --init --recursive,Implement proper submodule management workflow,git submodule status,Verify all submodules are initialized,https://git-scm.com/docs/git-submodule
Submodules,"Submodule '<path>' has dirty index",Uncommitted changes in submodule,Commit or stash submodule changes,git submodule foreach git stash,Automated submodule validation in CI/CD,git submodule foreach git status,Check all submodules are clean,https://git-scm.com/docs/git-submodule
Repository Recovery,"fatal: bad object <hash>",Corrupted repository object,git fsck to identify corruption,Clone fresh copy from remote,Implement repository backup and monitoring,git fsck --full,Verify repository integrity is restored,https://git-scm.com/docs/git-fsck
Repository Recovery,"dangling blob/commit",Unreferenced objects,git gc to clean up objects,git reflog expire --all && git gc --prune,Regular repository maintenance schedule,git fsck --unreachable,Check no dangling objects remain,https://git-scm.com/docs/git-gc
Workflow,"detached HEAD state",Checked out specific commit,git checkout <branch-name>,git checkout -b new-branch,Implement proper branch-based workflow,git branch,Verify on a named branch,https://git-scm.com/docs/git-checkout
Workflow,"nothing to commit working tree clean",No changes to commit,Check git status for untracked files,Use git add to stage changes,Implement proper development workflow,git status --ignored,Verify intended files are staged,https://git-scm.com/docs/git-status
